Order number,Line Number,Item,Vend Cat No,Order Qty,Unit Price,Inv Uom
N325800,71,835911,1070020,8,3.17,EA
N325800,72,816751,1080001,24,4.97,EA
N325800,73,779514,1080005,8,2.06,EA
N325800,74,174870,1090010,60,4.65,EA
N325800,75,738720,1090020,96,4.51,EA
N325800,76,765822,1100100,96,6.32,EA
N325800,77,279451,1100200,24,6.02,EA
N325800,78,660086,1100300,12,6.15,EA
N325800,79,864544,1110010,24,4.62,EA
N325800,80,356702,1110020,100,4.91,EA
N325800,81,271339,1000288,12,7.78,EA
N325800,82,584714,1001344,48,5.11,EA
N325800,83,497887,1003104,120,7.83,EA
N325800,84,383060,1003220,96,7.56,EA
N325800,85,771088,1003307,40,7.63,EA
N325800,86,821590,1003995,24,7.37,EA
N325800,87,684004,1004535,96,7.38,EA
N325800,88,330283,1004546,120,7.72,EA
N325800,89,817870,1006131,120,7.79,EA
N325800,90,440035,1006245,8,7.74,EA
N325800,91,983794,1006330,8,7.49,EA
N325800,92,905635,1006331,12,7.50,EA
N325800,93,913694,1010010,24,7.40,EA
N325800,94,158655,1010035,40,7.06,EA
N325800,95,340174,1010171,60,7.34,EA
N325800,96,961722,1010172,40,7.14,EA
N325800,97,133659,1020001,48,9.61,EA
N325800,98,944151,1020002,48,9.68,EA
N325800,99,430776,1020006,120,9.43,EA
N325800,100,520651,1021000,12,9.47,EA
N325800,101,380746,1030010,8,18.91,EA
N325800,102,169403,1030020,60,19.61,EA
N325800,103,321231,1030030,48,18.58,EA
N325800,104,694731,1040100,120,8.57,EA
N325800,105,852787,1040200,40,8.11,EA
N325800,106,429963,1050010,60,14.74,EA
N325800,107,322955,1050020,60,13.71,EA
N325800,108,787277,1060050,96,6.59,EA
N325800,109,623481,1060100,12,9.72,EA
N325800,110,514850,1070010,100,3.20,EA
N325800,111,774079,1070020,8,3.25,EA
N325800,112,581141,1080001,100,4.79,EA
N325800,113,249811,1080005,120,2.08,EA
N325800,114,377746,1090010,96,4.44,EA
N325800,115,246413,1090020,8,4.43,EA
N325800,116,358607,1100100,96,5.97,EA
N325800,117,881177,1100200,48,6.30,EA
N325800,118,688637,1100300,96,6.31,EA
N325800,119,665158,1110010,100,4.91,EA
N325800,120,375504,1110020,96,4.76,EA
N335512,002,012350,8187926,12,63.23498,EA
N335512,003,004792,7700828,12,119.51796,EA
N335512,004,001130,7073292,8,828.70520,EA
N335512,005,023716,4679591,24,383.56360,EA
N335512,006,032765,3320821,100,9.51484,EA
N335512,007,021703,9548432,120,100.54215,EA
N335512,008,001877,9279821,60,21.37970,EA
N335512,009,017384,2525206,12,27.46265,EA
N335512,010,035444,1790481,4,107.46252,EA
N335512,011,004467,2839607,4,39.25673,EA
N335512,012,035144,3564251,24,717.25628,EA
N335512,013,020180,3684052,48,160.63842,EA
N335512,014,025982,8082668,30,265.93413,EA
N335512,015,032171,2065818,12,228.33484,EA
N335512,016,035396,7455324,24,210.22460,EA
N335512,017,004489,7402509,12,73.76988,EA
N335512,018,017266,8852574,18,62.21560,EA
N335512,019,028373,9877065,8,138.24896,EA
N335512,020,007646,5218028,6,228.15420,EA
N335512,021,020376,1192619,24,67.17537,EA
N335512,022,010801,2921859,72,266.56586,EA
N335512,023,035157,5476583,48,200.14420,EA
N335512,024,035423,6707197,120,298.59613,EA
N335512,025,010680,2871534,24,258.33903,EA
N335512,026,028611,5924115,6,417.13953,EA
N335512,027,028569,8294150,700,23.43879,EA
N335512,028,010862,3653446,48,48.40734,EA
N335512,029,020697,8612220,96,75.72593,EA
N335512,030,007621,1054447,96,117.57830,EA
N335512,031,001981,5418934,24,196.24195,EA
N335512,032,007911,9398441,6,274.54961,EA
N335512,033,004494,3997281,144,161.74106,EA
N335512,034,021641,9517485,48,219.57606,EA
N335512,035,001796,2785277,72,292.69555,EA
N335512,036,023868,6007072,12,90.41513,EA
N335512,037,017214,9517169,36,95.68764,EA
N335512,038,021103,4337174,36,99.42930,EA
N335512,039,035282,3564217,36,74.60413,EA
N335512,040,028405,7273233,36,81.26328,EA
N335512,041,010256,3710343,36,86.13959,EA
N335512,042,023897,9897858,36,66.11521,EA
N335512,043,025431,1009594,30,125.22739,EA
N335512,044,017999,6438436,32,800.46630,EA
N335512,045,010999,9197443,72,384.05084,EA
N335512,046,004849,1326765,500,9.73422,EA
N335512,047,035645,2876828,96,102.94567,EA
N335512,048,021662,7089806,30,20.52200,EA
N335512,049,025533,6159230,12,26.75742,EA
N335512,050,035847,5017343,4,112.14359,EA
N335512,051,020787,1971823,8,40.75414,EA
N335512,052,023562,5041154,24,710.17259,EA
N335512,053,004446,2321324,12,157.86551,EA
N335512,054,010702,2437026,6,262.16175,EA
N335512,055,032746,9153566,8,220.55966,EA
N335512,056,001980,2161193,24,204.82378,EA
N335512,057,010385,9937326,36,70.37018,EA
N335512,058,007840,3109911,24,61.32027,EA
N335512,059,010903,3154051,12,140.09771,EA
N335512,060,010196,8973915,24,230.85202,EA
N335512,061,017533,3770370,24,69.21399,EA
N335512,062,032155,5446912,48,263.06848,EA
N335512,063,032447,9852897,24,190.93991,EA
N335512,064,010296,8099076,420,299.29690,EA
N335512,065,007532,4553384,12,262.56039,EA
N335512,066,010995,4374754,2,416.22502,EA
N335512,067,023200,6229731,200,22.83183,EA
N335512,068,023956,7693979,48,49.54822,EA
N335512,069,035969,7264956,48,76.71979,EA
N335512,070,021592,8350099,48,116.18627,EA
N335512,071,001268,9683481,12,205.58162,EA
N335512,072,020371,8574680,24,272.01456,EA
N335512,073,032848,3030113,96,160.40618,EA
N335512,074,021258,5159166,72,220.44038,EA
N335512,075,001693,4769795,48,281.17797,EA
N335512,076,017158,2074176,60,87.08392,EA
N335512,077,023973,6672134,12,94.64562,EA
N335512,078,023182,1352896,24,97.16606,EA
N335512,079,004791,4860684,24,70.67177,EA
N335512,080,025352,4694634,12,78.84216,EA
N335512,081,025183,1120642,36,86.58829,EA
N335512,082,025635,2191066,48,65.70461,EA
N335512,083,010785,1987737,18,125.34622,EA
N335512,084,020234,4841005,24,811.30703,EA
N335512,085,035174,2130789,72,389.14867,EA
N335512,086,025202,1527021,100,9.45627,EA
N335512,087,023371,6543670,24,101.25813,EA
N335512,088,004350,2188789,30,21.53565,EA
N335512,089,021953,9626108,18,26.78987,EA
N335512,090,025926,4993055,10,110.66518,EA
N335512,091,023406,5672073,4,40.64529,EA
N335512,092,007370,9143903,8,731.59269,EA
N335512,093,032666,4594297,12,164.03802,EA
N335512,094,025315,3219824,18,257.21798,EA
N335512,095,028749,8930103,24,225.13739,EA
N335512,096,021357,5076817,336,205.26155,EA
N335512,097,020949,8935169,12,70.46310,EA
N335512,098,017889,7829332,18,60.68333,EA
N335512,099,012265,4194548,4,140.60731,EA
N335512,100,020674,2582524,24,227.37286,EA
N335512,101,032252,2626229,24,66.96340,EA
N335512,102,017696,8231838,72,256.25210,EA
N335512,103,001415,6944126,24,195.28383,EA
N335512,104,035981,8106470,180,299.95266,EA
N335512,105,010798,7897151,6,268.26086,EA
N335512,106,017898,8835373,2,426.05505,EA
N335512,107,020735,1908841,900,23.43803,EA
N335512,108,010985,2651177,48,50.35430,EA
N335512,109,035281,2016911,48,76.75207,EA
N335512,110,032440,7754864,96,115.17952,EA
N335512,111,032930,6692553,24,204.82822,EA
N335512,112,035818,2833230,12,276.46688,EA
N335512,113,001979,5171761,24,161.35478,EA
N335512,114,021458,4214348,48,214.68410,EA
N335512,115,010328,4191175,72,290.12444,EA
N335512,116,020436,9997381,12,90.29880,EA
N335512,117,035385,8526486,36,96.22867,EA
N335512,118,020795,3351868,36,100.66736,EA
N335512,119,004998,8077999,36,74.46200,EA
N335512,120,012139,4078418,24,77.77063,EA
N335512,121,017846,5673212,12,86.59889,EA
N336335,30,023199,SN-628,8,89.36,CA
N336335,16,020388,E2350H,3,212.97,CA
N336335,5,025334,SM-923,10,143.88,CA
N336335,29,024507,88861744-41,6,98.35,CA
N336335,7,019779,SM-922,3,149.60,CA
N336335,4,020388,8886803712,6,113.33,CA
N336335,1,023011,SN-671,4,95.68,CA
N336335,6,019779,DSC2975FY,10,148.86,CA
N336335,39,022865,SM-924,3,148.70,CA
N336335,25,029044,SN-672,3,93.80,CA
N336335,28,022846,E2351H,8,213.89,CA
N336335,8,049889,88861744-51,1,95.79,CA
N336335,32,022865,SN-673,1,97.29,CA
N336335,14,025334,SM-925,3,145.23,CA
N336335,38,022846,E2345H,3,201.10,CA
N336335,31,049889,SN-674,3,95.30,CA
N336335,35,019779,88861744-61,4,98.68,CA
N336335,13,019779,SM-926,5,143.15,CA
N336335,2,029044,SN-675,5,87.36,CA
N336335,27,022846,E2346H,8,207.65,CA
N336335,22,029044,SM-927,12,142.94,CA
N336335,33,024507,88861744-71,4,95.39,CA
N336335,19,025334,SN-676,6,88.48,CA
N336335,9,022846,SM-928,2,149.88,CA
N336335,15,019779,E2347H,5,224.76,CA
N336335,17,020388,SN-677,5,96.08,CA
N336335,26,023199,88861744-81,8,97.51,CA
N336335,36,019779,SM-929,6,149.93,CA
N336335,37,024507,SN-678,4,92.11,CA
N336335,23,019779,SM-930,4,145.71,CA
N336335,24,029044,SN-628,12,90.17,CA
N336335,12,022865,E2350H,3,209.84,CA
N336335,21,023011,SM-923,8,146.24,CA
N336335,10,020388,88861744-41,1,99.37,CA
N336335,3,023011,SM-922,8,144.76,CA
N336335,20,022846,8886803712,2,117.36,CA
N336335,18,049889,SN-671,10,95.49,CA
N336335,11,022468,DSC2975FY,3,143.50,CA
N336335,34,022865,SM-924,8,143.74,CA
N339181,1,159942,13165-02-IZAACX,1,4771.13,EA
N339181,2,152578,18110-02-IXAACX,3,1120.44,EA
N339181,3,712554,18150-02-EAEDCK,3,1571.86,EA
N339181,4,599948,22400-01-KZAACX,4,384.90,EA
N339181,5,627276,31200-04-MZAACX,4,427.11,EA
N339181,6,994141,44100-02-NZAACX,5,192.62,EA
N339181,7,656926,55200-03-PZAACX,3,713.97,EA
N339181,8,265080,62300-01-QZAACX,1,557.53,EA
N339181,9,159642,71400-05-RZAACX,1,896.15,EA
N339181,10,632496,83500-02-SZAACX,4,1371.52,EA
N339181,11,184002,91600-03-TZAACX,4,2165.00,EA
N339181,12,992697,10700-04-UZAACX,1,6647.04,EA
N339181,13,294851,11800-01-VZAACX,3,873.49,EA
N339181,14,171849,12900-02-WZAACX,2,152.29,EA
N339181,15,723939,14000-03-XZAACX,2,1619.22,EA
N339181,16,171262,15100-04-YZAACX,2,877.29,EA
N339181,17,808011,16200-05-ZZAACX,4,1136.38,EA
N339181,18,346629,17300-01-AABCX,1,3332.58,EA
N339181,19,523389,18400-02-BABCX,1,1117.51,EA
N339181,20,225710,19500-03-CABCX,3,245.24,EA
N339181,21,697347,20600-04-DABCX,1,1923.51,EA
N339181,22,358175,21700-05-EABCX,4,184.68,EA
N339181,23,707040,22800-01-FABCX,5,2612.77,EA
N339181,24,723398,23900-02-GABCX,4,369.13,EA
N339181,25,141672,25000-03-HABCX,2,220.12,EA
N339181,26,749468,26100-04-IABCX,2,1960.10,EA
N339181,27,185965,27200-05-JABCX,3,2431.89,EA
N339181,28,539589,28300-01-KABCX,3,795.63,EA
N339181,29,789305,29400-02-LABCX,1,1586.12,EA
N339181,30,712024,30500-03-MABCX,4,96.69,EA
N339181,31,692683,31600-04-NABCX,5,1258.88,EA
N339181,32,648177,32700-05-OABCX,2,564.51,EA
N339181,33,431737,33800-01-PABCX,2,8548.27,EA
N339181,34,373432,34900-02-QABCX,3,188.85,EA
N339181,35,314181,36000-03-RABCX,1,1635.26,EA
N339181,36,802258,37100-04-SABCX,1,2133.66,EA
N339181,37,850981,38200-05-TABCX,4,1403.21,EA
N339181,38,429445,39300-01-UABCX,1,2058.64,EA
N339181,39,350280,40400-02-VABCX,2,3537.96,EA
N334499,34,000618,88861744-51,2,96.48,CA
N334499,38,003984,8886626741,4,146.88,CA
N334499,24,004383,GG-123,1,105.48,CA
N334499,30,005835,8886664141,1,151.20,CA
N334499,19,009793,8886663931,1,151.20,CA
N334499,29,019655,134048,1,437.20,CA
N334499,82,019767,CM-811,1,145.44,CA
N334499,17,019772,SM-633,3,143.64,CA
N334499,10,019786,SL-636,1,137.88,CA
N334499,69,020388,8886803712,4,114.00,CA
N334499,28,020388,8886803712,4,114.00,CA
N334499,83,020388,8886803712,4,114.00,CA
N334499,4,020388,8886803712,2,114.00,CA
N334499,56,021445,SN-628,3,90.00,CA
N334499,77,023199,88861744-41,2,96.48,CA
N334499,2,025334,SM-923,4,146.52,CA
N334499,36,019779,SM-922,3,146.52,CA
N334499,80,020388,E2350H,2,209.70,CA
N334499,11,023011,SN-671,2,96.48,CA
N334499,84,022865,SM-924,2,146.52,CA
N334499,58,029044,SN-672,3,96.48,CA
N334499,48,049889,88861744-51,2,96.48,CA
N334499,74,025334,SM-925,3,146.52,CA
N334499,61,022846,E2345H,2,199.80,CA
N334499,9,049889,SN-674,2,96.48,CA
N334499,51,019779,88861744-61,3,96.48,CA
N334499,57,019779,SM-926,4,146.52,CA
N334499,70,029044,SN-675,3,90.00,CA
N334499,23,022846,E2346H,2,207.65,CA
N334499,55,029044,SM-927,3,146.52,CA
N334499,15,024507,88861744-71,2,96.48,CA
N334499,32,025334,SN-676,3,90.00,CA
N334499,49,022846,SM-928,2,146.52,CA
N334499,68,019779,E2347H,2,219.40,CA
N334499,37,020388,SN-677,3,96.48,CA
N334499,62,023199,88861744-81,4,96.48,CA
N334499,43,022468,DSC2975FY,2,144.72,CA
N334499,78,045082,E2515,1,203.94,CA
N334499,52,045082,E2515,1,203.94,CA
N334499,41,045082,E2515,1,203.94,CA
N334499,21,045082,E2515,1,203.94,CA
N334499,42,045082,E2515,1,203.94,CA
N334499,8,045082,E2515,1,203.94,CA
N334499,71,045082,E2515,1,203.94,CA
N334499,39,045082,E2515,1,203.94,CA
N334499,64,045082,E2515,1,203.94,CA
N334499,79,045082,E2515,1,203.94,CA
N334499,59,045082,E2515,1,203.94,CA
N334499,60,045082,E2515,1,203.94,CA
N334499,73,045082,E2515,1,203.94,CA
N334499,35,045082,E2515,1,203.94,CA
N334499,12,045082,E2515,1,203.94,CA
N334499,67,045082,E2515,1,203.94,CA
N334499,7,045082,E2515,1,203.94,CA
N334499,6,045082,E2515,1,203.94,CA
N334499,40,045082,E2515,1,203.94,CA
N334499,33,045082,E2515,1,203.94,CA
N334499,50,045082,E2515,1,203.94,CA
N334499,46,045082,E2515,1,203.94,CA
N334499,54,045082,E2515,1,203.94,CA
N334499,27,045082,E2515,1,203.94,CA
N334499,20,045082,E2515,1,203.94,CA
N334499,47,045082,E2515,1,203.94,CA
N334499,13,045082,E2515,1,203.94,CA
N334499,5,045082,E2515,1,203.94,CA
N334499,53,045082,E2515,1,203.94,CA
N334499,16,045082,E2515,1,203.94,CA
N334499,63,045082,E2515,1,203.94,CA
N334499,65,045082,E2515,1,203.94,CA
N334499,25,045082,E2515,1,203.94,CA
N334499,72,045082,E2515,1,203.94,CA
N334499,26,045082,E2515,1,203.94,CA
N334499,81,045082,E2515,1,203.94,CA
N334499,3,045082,E2515,1,203.94,CA
N334499,75,045082,E2515,1,203.94,CA
N334499,31,045082,E2515,1,203.94,CA
N334499,18,045082,E2515,1,203.94,CA
N334499,14,045082,E2515,1,203.94,CA
N334499,1,051003,GIA6038L,1,378.00,CA
N334499,22,051003,GIA6038S,6,393.75,CA
N334499,44,051004,TA3035L,1,315.00,CA
N334499,45,051011,TA6035L,4,315.00,CA
N334499,66,051015,TA9035S,1,367.50,CA
N334499,76,051020,TA-CR,1,14.54,CA
